rodent.ds	graph.summary	habituation.days	habituation.min
1001	Y - - - - - - - O Ō Ō Ō Ō Ō Ō	7	315
1002	Y - - - - - - -	0	0
1003	Y - - - - - - - O O O Ō Ō - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō - -	19	695
1004	Y ( 30x - ) X X X X O O O O O O Ō Ō Ō Ō - -	10	233
1005a	Y ... Ō Ō Ō Ō Ō Ō Ō	7	1320
1006	Y ... O O O O O Ō Ō	7	260
1007	Y ... O O O Ō Ō Ō Ō Ō Ō	9	515
1008	X O O Ō Ō Ō Ō Ō Ō	8	420
1009	X X X X X - - O O O O O - - Ō Ō Ō Ō Ō	10	50
1010	Y … X X X X … Ō Ō Ō Ō	4	240
1011	Y (21x - )	0	0
1012	O O O O O	5	150
1013	Y … X O O Ō Ō Ō	5	100
1014	Y … O O O O O - - O O	7	180
1015	Y … O O O O	4	300
3001	Y - - - X X X O O O O	4	42
3002	Y … X X X X O - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō Ō	16	432
3003	Y - - - X X X O O O O	4	42
3004	O O O O O	5	165
3005	Y … O O O O	4	42
2001	Ō Ō Ō Ō - - Ō Ō Ō Ō	8	110
2002a	Ō Ō Ō Ō	4	120
2002b	Ō Ō Ō Ō	4	120
2002c	Ō Ō Ō Ō - - Ō Ō Ō Ō	8	300
2003	X X X X X Ō Ō Ō - - Ō Ō Ō Ō Ō - - Ō … Y (20 x - )	9	500
2004	Y … X X O O O O Ō Ō Ō Ō Ō	9	430
2005	X X X - - O O O - - O O O - - Ō Ō Ō - -	9	360
4001	Ō Ō Ō Ō Ō Ō Ō	7	330
