exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal.id.orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution	MRI.slice.thickness	Link.to.paper	Link.to.Download.data
		data is the same BIDS_raw and BIDS_input-RABIES	1001	100100	20190305_m08_awake	1	1	1	mouse	C57BL/6	C57BL/6	m	7-9	25	m	y	n	n	n	n	262~293		37+_0.5	Bruker	9.4	y	GE-EPI	1000	15	0.225	0.5		
		data is the same BIDS_raw and BIDS_input-RABIES	1001	100101	20190305_m09_awake	1	1	1	mouse	C57BL/6	C57BL/6	m	7-9	25	m	y	n	n	n	n	262~293		37+_0.5	Bruker	9.4	y	GE-EPI	1000	15	0.225	0.5		
		data is the same BIDS_raw and BIDS_input-RABIES	1001	100102	20190305_m10_awake	1	1	1	mouse	C57BL/6	C57BL/6	m	7-9	25	m	y	n	n	n	n	262~293		37+_0.5	Bruker	9.4	y	GE-EPI	1000	15	0.225	0.5		
		data is the same BIDS_raw and BIDS_input-RABIES	1001	100103	20190305_m15_awake	1	1	1	mouse	C57BL/6	C57BL/6	m	7-9	25	m	y	n	n	n	n	262~293		37+_0.5	Bruker	9.4	y	GE-EPI	1000	15	0.225	0.5		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100200	IN-11466-23	1	A060723	1	mouse	C57BL/6	C57BL/6	m	16-20	26.3	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100201	IN-05801-23	1	A220523	1	mouse	C57BL/6	C57BL/6	m	12-16	24	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100202	IN-11467-23	1	B060723	1	mouse	C57BL/6	C57BL/6	m	16-20	26.4	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100203	IN-05802-23	1	B220523	1	mouse	C57BL/6	C57BL/6	m	12-16	29.4	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100204	IN-44984-22	1	B230523	1	mouse	C57BL/6	C57BL/6	m	20-24	28.6	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
		data is the same BIDS_raw and BIDS_input-RABIES	1002	100205	IN-08439-23	1	C060723	1	mouse	C57BL/6	C57BL/6	m	16-20	31.3	m	y	n	n	n	n	NA	NA	NA	Bruker	7.0	n	GE-EPI	2000	16.385	30	0,25 x 0,25		
