rodent.ds	total_run	total_included	total_animal	strain	male	female	unknownsex	headplate	restrained	anesthesia	exp.gender	field_strength	sequence	TE	included_percentage	graph.summary	habituation.days	habituation.min	short.habituation	fd.mean	total.frames	dropped.frames.gsr1	dropped.frames.gsr2	dropped.frames.gsr3	s1.cat.gsr1.Specific	s1.cat.gsr1.Non-specific	s1.cat.gsr1.Spurious	s1.cat.gsr1.No	thal.cat.gsr1.Specific	thal.cat.gsr1.Non-specific	thal.cat.gsr1.Spurious	thal.cat.gsr1.No	s1.cat.gsr2.Specific	s1.cat.gsr2.Non-specific	s1.cat.gsr2.Spurious	s1.cat.gsr2.No	thal.cat.gsr2.Specific	thal.cat.gsr2.Non-specific	thal.cat.gsr2.Spurious	thal.cat.gsr2.No	s1.cat.gsr3.Specific	s1.cat.gsr3.Non-specific	s1.cat.gsr3.Spurious	s1.cat.gsr3.No	thal.cat.gsr3.Specific	thal.cat.gsr3.Non-specific	thal.cat.gsr3.Spurious	thal.cat.gsr3.No	s1.cat.wmcsf1.Specific	s1.cat.wmcsf1.Non-specific	s1.cat.wmcsf1.Spurious	s1.cat.wmcsf1.No	thal.cat.wmcsf1.Specific	thal.cat.wmcsf1.Non-specific	thal.cat.wmcsf1.Spurious	thal.cat.wmcsf1.No	s1.cat.wmcsf2.Specific	s1.cat.wmcsf2.Non-specific	s1.cat.wmcsf2.Spurious	s1.cat.wmcsf2.No	thal.cat.wmcsf2.Specific	thal.cat.wmcsf2.Non-specific	thal.cat.wmcsf2.Spurious	thal.cat.wmcsf2.No	s1.cat.wmcsf3.Specific	s1.cat.wmcsf3.Non-specific	s1.cat.wmcsf3.Spurious	s1.cat.wmcsf3.No	thal.cat.wmcsf3.Specific	thal.cat.wmcsf3.Non-specific	thal.cat.wmcsf3.Spurious	thal.cat.wmcsf3.No	s1.cat.aCompCor1.Specific	s1.cat.aCompCor1.Non-specific	s1.cat.aCompCor1.Spurious	s1.cat.aCompCor1.No	thal.cat.aCompCor1.Specific	thal.cat.aCompCor1.Non-specific	thal.cat.aCompCor1.Spurious	thal.cat.aCompCor1.No	s1.cat.aCompCor2.Specific	s1.cat.aCompCor2.Non-specific	s1.cat.aCompCor2.Spurious	s1.cat.aCompCor2.No	thal.cat.aCompCor2.Specific	thal.cat.aCompCor2.Non-specific	thal.cat.aCompCor2.Spurious	thal.cat.aCompCor2.No	s1.cat.aCompCor3.Specific	s1.cat.aCompCor3.Non-specific	s1.cat.aCompCor3.Spurious	s1.cat.aCompCor3.No	thal.cat.aCompCor3.Specific	thal.cat.aCompCor3.Non-specific	thal.cat.aCompCor3.Spurious	thal.cat.aCompCor3.No
1004	21	21	5	C57BL/6	13	8	0	y	y	n	f	11.7	GE-EPI	11.0	100.0	Y ( 30x - ) X X X X O O O O O O Ō Ō Ō Ō - -	10	233	long	0.06266744739629002	334.0	134.52380952380952	48.23809523809524	3.8095238095238093	0.09523809523809523	0.047619047619047616	0.7142857142857143	0.14285714285714285	0.19047619047619047	0.14285714285714285	0.47619047619047616	0.19047619047619047	0.09523809523809523	0.047619047619047616	0.8095238095238095	0.047619047619047616	0.14285714285714285	0.09523809523809523	0.6666666666666666	0.09523809523809523	0.19047619047619047	0.047619047619047616	0.6666666666666666	0.09523809523809523	0.14285714285714285	0.14285714285714285	0.47619047619047616	0.23809523809523808	0.09523809523809523	0.09523809523809523	0.7142857142857143	0.09523809523809523	0.19047619047619047	0.19047619047619047	0.5238095238095238	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.6666666666666666	0.14285714285714285	0.2857142857142857	0.09523809523809523	0.5238095238095238	0.09523809523809523	0.19047619047619047	0.047619047619047616	0.5238095238095238	0.23809523809523808	0.3333333333333333	0.09523809523809523	0.3333333333333333	0.23809523809523808	0.14285714285714285	0.09523809523809523	0.6666666666666666	0.09523809523809523	0.19047619047619047	0.14285714285714285	0.5714285714285714	0.09523809523809523	0.09523809523809523	0.14285714285714285	0.6666666666666666	0.09523809523809523	0.14285714285714285	0.14285714285714285	0.6666666666666666	0.047619047619047616	0.09523809523809523	0.14285714285714285	0.6666666666666666	0.09523809523809523	0.23809523809523808	0.3333333333333333	0.3333333333333333	0.09523809523809523
1013	32	32	8	C57BL/6	32	0	0	y	n	n	f	9.4	SE-EPI	14.0	100.0	Y … X O O Ō Ō Ō	5	100	long	0.02273153719362117	480.0	51.1875	48.8125	0.0	0.21875	0.03125	0.40625	0.34375	0.1875		0.40625	0.40625	0.21875	0.03125	0.40625	0.34375	0.21875		0.40625	0.375	0.125	0.0625	0.53125	0.28125	0.3125		0.40625	0.28125	0.21875	0.03125	0.4375	0.3125	0.1875		0.375	0.4375	0.1875	0.03125	0.5	0.28125	0.1875		0.375	0.4375	0.125	0.0625	0.40625	0.40625	0.25	0.03125	0.3125	0.40625	0.15625	0.03125	0.53125	0.28125	0.25	0.0625	0.46875	0.21875	0.125	0.0625	0.46875	0.34375	0.1875	0.0625	0.5	0.25	0.0625	0.03125	0.46875	0.4375	0.25	0.03125	0.34375	0.375
3003	479	478	19	F1 C6/129P	479	0	0	y	y	y	m	9.4	SE-EPI	18.398	99.79123173277662	Y - - - X X X O O O O	4	42	short	0.045526555510861044	200.0	59.30105263157895	41.242105263157896	2.774736842105263	0.15481171548117154	0.060669456066945605	0.48535564853556484	0.2928870292887029	0.17364016736401675	0.05230125523012552	0.4769874476987448	0.2907949790794979	0.16527196652719664	0.058577405857740586	0.46443514644351463	0.3054393305439331	0.1694560669456067	0.056485355648535567	0.4581589958158996	0.30962343096234307	0.19246861924686193	0.06694560669456066	0.38493723849372385	0.3493723849372385	0.17573221757322174	0.056485355648535567	0.4351464435146444	0.3263598326359833	0.16108786610878661	0.07740585774058577	0.4707112970711297	0.28451882845188287	0.16527196652719664	0.08158995815899582	0.4497907949790795	0.29707112970711297	0.15271966527196654	0.08158995815899582	0.4560669456066946	0.303347280334728	0.17364016736401675	0.06903765690376569	0.46443514644351463	0.28661087866108786	0.18828451882845187	0.0899581589958159	0.3682008368200837	0.3472803347280335	0.1694560669456067	0.07531380753138076	0.4225941422594142	0.3263598326359833	0.15271966527196654	0.100418410041841	0.5292887029288703	0.2112970711297071	0.17154811715481172	0.09832635983263599	0.5334728033472803	0.1903765690376569	0.1903765690376569	0.0899581589958159	0.4895397489539749	0.22384937238493724	0.16527196652719664	0.0794979079497908	0.50418410041841	0.24476987447698745	0.1903765690376569	0.08577405857740586	0.4351464435146444	0.2824267782426778	0.15271966527196654	0.08368200836820083	0.4456066945606695	0.3117154811715481
1001	4	4	4	C57BL/6	4	0	0	y	n	n	m	9.4	GE-EPI	15.0	100.0	Y - - - - - - - O Ō Ō Ō Ō Ō Ō	7	315	long	0.0074876161620598	600.0	27.75	27.75	0.0	0.5	0.25		0.25			0.75	0.25	0.5	0.25		0.25			0.75	0.25	0.5	0.25		0.25			0.5	0.5	0.75	0.25					0.75	0.25	0.75	0.25					0.75	0.25	0.75	0.25			0.25		0.25	0.5	0.5	0.5				0.25	0.5	0.25	0.5	0.5				0.25	0.5	0.25	0.5	0.5				0.25	0.25	0.5
3002	10	10	10	C57BL/6	10	0	0	y	y	n	f	7.0	GE-EPI	15.0	100.0	Y … X X X X O - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō Ō - - Ō Ō Ō Ō Ō	16	432	long	0.017535430246944466	1920.0	398.9	388.8	0.4	0.3			0.7	0.1			0.9	0.3			0.7	0.1			0.9	0.5			0.5	0.2			0.8	0.4	0.1		0.5	0.2	0.1		0.7	0.4	0.1		0.5	0.2	0.1		0.7	0.6		0.1	0.3	0.2		0.2	0.6	0.2			0.8	0.1		0.2	0.7	0.1			0.9	0.1		0.2	0.7	0.1			0.9	0.2			0.8
3001	112	112	6	C57BL/6	0	0	112	y	y	y	m	9.4	SE-EPI	18.398	100.0	Y - - - X X X O O O O	4	42	short	0.04120880932428794	200.0	42.0	27.892857142857142	2.25	0.32142857142857145	0.17857142857142858	0.49107142857142855	0.008928571428571428	0.21428571428571427	0.16964285714285715	0.6160714285714286		0.3392857142857143	0.16964285714285715	0.48214285714285715	0.008928571428571428	0.24107142857142858	0.13392857142857142	0.6071428571428571	0.017857142857142856	0.20535714285714285	0.24107142857142858	0.5267857142857143	0.026785714285714284	0.2767857142857143	0.25	0.4642857142857143	0.008928571428571428	0.25892857142857145	0.2767857142857143	0.45535714285714285	0.008928571428571428	0.21428571428571427	0.25	0.5089285714285714	0.026785714285714284	0.2857142857142857	0.25892857142857145	0.42857142857142855	0.026785714285714284	0.23214285714285715	0.22321428571428573	0.5357142857142857	0.008928571428571428	0.21428571428571427	0.26785714285714285	0.5089285714285714	0.008928571428571428	0.23214285714285715	0.26785714285714285	0.4642857142857143	0.03571428571428571	0.2767857142857143	0.25	0.45535714285714285	0.017857142857142856	0.20535714285714285	0.19642857142857142	0.5803571428571429	0.017857142857142856	0.2767857142857143	0.25	0.4642857142857143	0.008928571428571428	0.20535714285714285	0.20535714285714285	0.5535714285714286	0.03571428571428571	0.1875	0.3392857142857143	0.44642857142857145	0.026785714285714284	0.25	0.3392857142857143	0.4017857142857143	0.008928571428571428
1008	36	36	9	C57BL/6	20	16	0	n	y	n	m	9.4	GE-EPI	12.0	100.0	X O O Ō Ō Ō Ō Ō Ō	8	420	long	0.028795218419953375	400.0	81.77777777777777	58.02777777777778	0.0	0.19444444444444445	0.08333333333333333	0.3611111111111111	0.3611111111111111	0.19444444444444445	0.027777777777777776	0.5555555555555556	0.2222222222222222	0.16666666666666666	0.1111111111111111	0.3333333333333333	0.3888888888888889	0.16666666666666666	0.027777777777777776	0.5555555555555556	0.25	0.2222222222222222	0.19444444444444445	0.3055555555555556	0.2777777777777778	0.08333333333333333	0.1111111111111111	0.5277777777777778	0.2777777777777778	0.19444444444444445	0.08333333333333333	0.3611111111111111	0.3611111111111111	0.1388888888888889	0.1111111111111111	0.4444444444444444	0.3055555555555556	0.16666666666666666	0.1111111111111111	0.3611111111111111	0.3611111111111111	0.1111111111111111	0.1388888888888889	0.4166666666666667	0.3333333333333333	0.2222222222222222	0.16666666666666666	0.2777777777777778	0.3333333333333333	0.1111111111111111	0.1388888888888889	0.4166666666666667	0.3333333333333333	0.2222222222222222	0.1388888888888889	0.3611111111111111	0.2777777777777778	0.1388888888888889	0.1111111111111111	0.5	0.25	0.25	0.05555555555555555	0.4444444444444444	0.25	0.16666666666666666	0.1111111111111111	0.4444444444444444	0.2777777777777778	0.19444444444444445	0.08333333333333333	0.3333333333333333	0.3888888888888889	0.2222222222222222	0.05555555555555555	0.3888888888888889	0.3333333333333333
1015	6	3	6	C57BL/6	6	0	0	y	n	y	m	11.7	GE-EPI	14.0	50.0	Y … O O O O	4	300	short	0.037024494197674035	400.0	119.33333333333333	60.333333333333336	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333		0.3333333333333333			0.6666666666666666	0.3333333333333333	0.6666666666666666		0.3333333333333333		0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333		0.6666666666666666	0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333		0.3333333333333333	0.3333333333333333	0.6666666666666666		0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333		0.6666666666666666	0.3333333333333333			0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333	0.3333333333333333	0.3333333333333333		0.3333333333333333
1009	107	49	5	129S2/SvPas	68	39	0	y	y	y	m	9.4	GE-EPI	15.0	45.794392523364486	X X X X X - - O O O O O - - Ō Ō Ō Ō Ō	10	50	long	0.027444318268515296	453.0612244897959	76.73469387755102	63.44897959183673	1.2448979591836735	0.20408163265306123	0.061224489795918366	0.46938775510204084	0.24489795918367346	0.14285714285714285	0.08163265306122448	0.4897959183673469	0.24489795918367346	0.2653061224489796	0.04081632653061224	0.46938775510204084	0.22448979591836735	0.12244897959183673	0.10204081632653061	0.4897959183673469	0.2653061224489796	0.32653061224489793	0.061224489795918366	0.3673469387755102	0.24489795918367346	0.10204081632653061	0.08163265306122448	0.4897959183673469	0.30612244897959184	0.20408163265306123	0.10204081632653061	0.4489795918367347	0.22448979591836735	0.12244897959183673	0.12244897959183673	0.5102040816326531	0.20408163265306123	0.2857142857142857	0.08163265306122448	0.42857142857142855	0.20408163265306123	0.14285714285714285	0.12244897959183673	0.4897959183673469	0.22448979591836735	0.32653061224489793	0.061224489795918366	0.40816326530612246	0.20408163265306123	0.12244897959183673	0.08163265306122448	0.5306122448979592	0.24489795918367346	0.16326530612244897	0.061224489795918366	0.4489795918367347	0.30612244897959184	0.12244897959183673	0.10204081632653061	0.5510204081632653	0.1836734693877551	0.24489795918367346	0.08163265306122448	0.4489795918367347	0.22448979591836735	0.14285714285714285	0.10204081632653061	0.6122448979591837	0.12244897959183673	0.32653061224489793	0.12244897959183673	0.32653061224489793	0.22448979591836735	0.12244897959183673	0.061224489795918366	0.4897959183673469	0.30612244897959184
1012	26	24	26	C57BL/6	14	12	0	n	y	y	f	9.4	GE-EPI	6.0	92.3076923076923	O O O O O	5	150	long	0.021374670772984872	300.0	28.958333333333332	26.666666666666668	0.5833333333333334	0.4166666666666667		0.375	0.20833333333333334	0.125		0.625	0.25	0.4166666666666667		0.375	0.20833333333333334	0.16666666666666666		0.625	0.20833333333333334	0.4583333333333333		0.25	0.2916666666666667	0.20833333333333334		0.5833333333333334	0.20833333333333334	0.4166666666666667		0.25	0.3333333333333333	0.125		0.5416666666666666	0.3333333333333333	0.4166666666666667		0.25	0.3333333333333333	0.16666666666666666		0.5416666666666666	0.2916666666666667	0.4583333333333333		0.16666666666666666	0.375	0.25	0.041666666666666664	0.5	0.20833333333333334	0.375	0.08333333333333333	0.4166666666666667	0.125	0.08333333333333333	0.125	0.625	0.16666666666666666	0.375	0.08333333333333333	0.4166666666666667	0.125	0.08333333333333333	0.125	0.625	0.16666666666666666	0.3333333333333333	0.08333333333333333	0.4166666666666667	0.16666666666666666	0.125	0.08333333333333333	0.5416666666666666	0.25
