exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal_id_orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution (mm)	MRI.slice.thickness	Link.to.paper	Link.to.Download.data
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200100	884884	1	1007	1	rat	Wistar	Wistar	m	14.3	378.0	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	85	NA	35.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200101	884885	1	1008	1	rat	Wistar	Wistar	m	14.3	380.5	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	61	NA	34.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200102	884892	1	1009	1	rat	Wistar	Wistar	f	14.3	209.3	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	97	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200103	884893	1	1010	1	rat	Wistar	Wistar	f	14.3	192.5	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	77	NA	33.8	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200104	884886	1	1011	1	rat	Wistar	Wistar	m	14.4	359.9	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	99	NA	34.9	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200105	884887	1	1012	1	rat	Wistar	Wistar	m	14.4	389.0	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	72	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200106	884894	1	1013	1	rat	Wistar	Wistar	f	14.4	209.1	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	82	NA	35.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200107	884895	1	1014	1	rat	Wistar	Wistar	f	14.4	212.8	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	76	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200108	890555	1	1038	1	rat	Wistar	Wistar	m	11.4	278.30	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	80	NA	33.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200109	890556	1	1039	1	rat	Wistar	Wistar	m	11.4	346.30	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	104	NA	36.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200110	890559	1	1040	1	rat	Wistar	Wistar	f	11.4	222.60	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	66	NA	35.6	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200111	890560	1	1041	1	rat	Wistar	Wistar	f	11.4	221.60	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	93	NA	36.3	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200112	890557	1	1042	1	rat	Wistar	Wistar	m	11.6	293.7	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	91	NA	36.2	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200113	890558	1	1043	1	rat	Wistar	Wistar	m	11.6	289.1	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	107	NA	36.2	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200114	890561	1	1044	1	rat	Wistar	Wistar	f	11.6	224.7	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	89	NA	36.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200115	890562	1	1045	1	rat	Wistar	Wistar	f	11.6	230.8	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	83	NA	36.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200200	PSt_01_07	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	292	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200201	PSt_02_07	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	279	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200202	PSt_04_07	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	292	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200203	PSt_06_07	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	284	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200204	PSt_07_08	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	293	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	sns.swarmplot(data=df, x="body_mass_g", y="sex", hue="species")	PSt_09_08	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	312	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002a	200206	PSt_12_08	1	session_1	1	rat	Sprague-Dawley	Sprague-Dawley	m	12	319	f	n	y	n	y	sevoflurane	NA	NA	NA	Bruker	7	n	GE-EPI	1000	18	0.46875	1		
		data is the same BIDS_raw and BIDS_input-RABIES	2002b	200207	PSt_07_27	1	session_1	1	rat	Wistar	Wistar	m	11	321	m	n	y	n	y	isoflurane	154	NA	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002c	200208	PSt_07_27	1	session_2	1	rat	Wistar	Wistar	m	12	334	m	n	y	n	y	isoflurane	NA	NA	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002b	200209	PSt_08_27	1	session_1	1	rat	Wistar	Wistar	m	11	309	m	n	y	n	y	isoflurane	171	431	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002c	200210	PSt_08_27	1	session_2	1	rat	Wistar	Wistar	m	12	319	m	n	y	n	y	isoflurane	150	420	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002b	200211	PSt_10_27	1	session_1	1	rat	Wistar	Wistar	m	9	301	m	n	y	n	y	isoflurane	173	413	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002c	200212	PSt_10_27	1	session_2	1	rat	Wistar	Wistar	m	10	316	m	n	y	n	y	isoflurane	171	349	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002b	200213	PSt_11_27	1	session_1	1	rat	Wistar	Wistar	m	9	318	m	n	y	n	y	isoflurane	155	395	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002c	200214	PSt_11_27	1	session_2	1	rat	Wistar	Wistar	m	10	338	m	n	y	n	y	isoflurane	171	NA	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002b	200215	PSt_23_28	1	session_1	1	rat	Wistar	Wistar	m	12	311	m	n	y	n	y	isoflurane	NA	NA	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2002c	200216	PSt_23_28	1	session_2	1	rat	Wistar	Wistar	m	13	315	m	n	y	n	y	isoflurane	164	NA	NA	Bruker	7	n	SE-EPI	2000	45	0.390625	1.5		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	1	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	27	0,26 x 0,26		
		data is the same BIDS_raw and BIDS_input-RABIES	2003	200300	6	1	A040912	2	rat	Sprague-Dawley	Sprague-Dawley	m	8-15 weeks	250-400	f	y	y	n	y	isoflurane (1,5-2%)	not recorded	not recorded	not recorded	Bruker	7	n	GE-EPI	2000	15	12	0,26 x 0,26		
