exclude	exclude.reason	comments	rodent.ds	rodent.sub	animal_id_orig	rodent.session	rodent.session.orig	rodent.run	rodent.species	rodent.strain	rodent.strain.orig	rodent.sex	rodent.age	rodent.weight	main.experimenter.gender	head-plate	body.restrained	free.behaving	anesthesia.before.acquisition	anesthesia.before.acquisition.orig	average.breathing.rate	average.heart.rate	average.temperature	MRI.vendor	MRI.field.strength	MRI.cryocoil	fMRI.sequence	MRI.TR	MRI.TE	MRI.in.plane.resolution (mm)	MRI.slice.thickness	Link.to.paper	Link.to.Download.data	scan	scan_dir	""	FileAddress	corresponding_img	SpatRx	SpatRy	SpatRz	Ghosting	aidaqc.tsnr	aidaqc.dist	fd.mean	total.frames	dropped.frames.gsr1	s1.specific.gsr1	s1.unspecific.gsr1	thal.specific.gsr1	s1.cat.gsr1	thal.cat.gsr1	dropped.frames.gsr2	s1.specific.gsr2	s1.unspecific.gsr2	thal.specific.gsr2	s1.cat.gsr2	thal.cat.gsr2	dropped.frames.gsr3	s1.specific.gsr3	s1.unspecific.gsr3	thal.specific.gsr3	s1.cat.gsr3	thal.cat.gsr3	dropped.frames.wmcsf1	s1.specific.wmcsf1	s1.unspecific.wmcsf1	thal.specific.wmcsf1	s1.cat.wmcsf1	thal.cat.wmcsf1	dropped.frames.wmcsf2	s1.specific.wmcsf2	s1.unspecific.wmcsf2	thal.specific.wmcsf2	s1.cat.wmcsf2	thal.cat.wmcsf2	dropped.frames.wmcsf3	s1.specific.wmcsf3	s1.unspecific.wmcsf3	thal.specific.wmcsf3	s1.cat.wmcsf3	thal.cat.wmcsf3	dropped.frames.aCompCor1	s1.specific.aCompCor1	s1.unspecific.aCompCor1	thal.specific.aCompCor1	s1.cat.aCompCor1	thal.cat.aCompCor1	dropped.frames.aCompCor2	s1.specific.aCompCor2	s1.unspecific.aCompCor2	thal.specific.aCompCor2	s1.cat.aCompCor2	thal.cat.aCompCor2	dropped.frames.aCompCor3	s1.specific.aCompCor3	s1.unspecific.aCompCor3	thal.specific.aCompCor3	s1.cat.aCompCor3	thal.cat.aCompCor3
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200100	884884	1	1007	1	rat	Wistar	Wistar	m	14.3	378.0	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	85	NA	35.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200100_ses-1_run-1	_split_name_sub-0200100_ses-1_run-1_task-rest_bold	0	/project/4180000.36/awake/bids/rat_complete/sub-0200100/ses-1/func/sub-0200100_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200100_ses-1_run-1_task-rest_bold_1.png	0.3906	1.4	0.3907	false	21.601075265110957	0.11667601286280659	0.034489988669407994	600	7	0.022294047418983064	0.2591611991669302	0.07211085496141528	Spurious	Spurious	7	0.022294047418983064	0.2591611991669302	0.07211085496141528	Spurious	Spurious		-0.018754880424838218	0.19904171671911697	0.0808679896501547	Spurious	Spurious	7	0.09369245337475492	0.3116629977442105	0.08238795206200637	Spurious	Spurious	7	0.09369245337475492	0.3116629977442105	0.08238795206200637	Spurious	Spurious		0.049286489769943216	0.23742897572451085	0.09241570721273218	Spurious	Spurious	7	0.02542431619399654	0.14505530002830092	0.045756278742859646	Spurious	Spurious	7	0.0057798018396360085	0.1236221642180165	0.0466872492413357	Spurious	Spurious		0.02516145913942499	-0.02049429351662775	-0.025519059442366075	No	No
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200101	884885	1	1008	1	rat	Wistar	Wistar	m	14.3	380.5	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	61	NA	34.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200101_ses-1_run-1	_split_name_sub-0200101_ses-1_run-1_task-rest_bold	1	/project/4180000.36/awake/bids/rat_complete/sub-0200101/ses-1/func/sub-0200101_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200101_ses-1_run-1_task-rest_bold_2.png	0.3906	1.4	0.3907	false	19.88677443811238	0.07785748486625912	0.0714906022466569	600	270	0.5777272241496816	-0.22489163853584215	0.20218797016232626	Specific	Specific	3	0.6168646521629799	-0.1583138345998591	0.1262674587135719	Specific	Specific		0.6220653726941189	-0.19422552476890997	0.15387128724659646	Specific	Specific	270	0.5863018825676094	-0.1920580999067234	0.1646553762923644	Specific	Specific	3	0.6408883247132968	-0.13357237849813972	0.15445971709850742	Specific	Specific		0.6438906076723702	-0.16258454503367928	0.17112600979494724	Specific	Specific	270	0.402177020118795	0.03368899828058025	0.012575847983651528	Specific	No	3	0.21831649315952426	-0.21626468860501868	-0.06663307338564134	Specific	Spurious		0.3753489032392804	-0.20696875082830155	-0.013227285273127828	Specific	Spurious
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200102	884892	1	1009	1	rat	Wistar	Wistar	f	14.3	209.3	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	97	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200102_ses-1_run-1	_split_name_sub-0200102_ses-1_run-1_task-rest_bold	2	/project/4180000.36/awake/bids/rat_complete/sub-0200102/ses-1/func/sub-0200102_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200102_ses-1_run-1_task-rest_bold_3.png	0.3906	1.4	0.3907	false	23.820294653218763	0.17488520613425265	0.028153350235181212	600	11	0.6605773771399734	-0.14420195286283605	0.0821784121536342	Specific	Spurious	11	0.6605773771399734	-0.14420195286283605	0.0821784121536342	Specific	Spurious		0.658312611881361	-0.15943255957879654	0.10749067816493448	Specific	Specific	11	0.6840807706052386	-0.12303366152534022	0.11056298930956882	Specific	Specific	11	0.6840807706052386	-0.12303366152534022	0.11056298930956882	Specific	Specific		0.6813197274437879	-0.13928385549197125	0.14072178146818942	Specific	Specific	11	0.48681076453033145	0.1296346235100852	0.08430538586918229	Non-specific	Spurious	11	0.4870715098643467	0.12999245083899483	0.08443771710659743	Non-specific	Spurious		0.40817056166653726	-0.05549620332232312	0.029410799022565742	Specific	No
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200103	884893	1	1010	1	rat	Wistar	Wistar	f	14.3	192.5	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	77	NA	33.8	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200103_ses-1_run-1	_split_name_sub-0200103_ses-1_run-1_task-rest_bold	3	/project/4180000.36/awake/bids/rat_complete/sub-0200103/ses-1/func/sub-0200103_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200103_ses-1_run-1_task-rest_bold_4.png	0.3906	1.4	0.3907	false	25.30458387666798	0.09512845537500783	0.03010633603737478	600	23	0.5071033720762875	0.13005006553216167	-0.09318868249653514	Non-specific	Spurious	19	0.5097874902269366	0.127601552218378	-0.07770225062331514	Non-specific	Spurious		0.4942625053831454	0.08927589562755459	-0.11481572863214336	Specific	Spurious	23	0.4966149449176099	0.15595606151662433	-0.06286398715256629	Non-specific	Spurious	19	0.5000727247793635	0.1504271273685838	-0.05892444190028621	Non-specific	Spurious		0.4940819192732911	0.11529105058865843	-0.10342383325059673	Non-specific	Spurious	23	0.32885261451957826	0.1478401777174543	0.15804796775651847	Non-specific	Non-specific	19	0.26351287164480636	0.06243885348869326	0.16389452777750677	Specific	Specific		0.29762215889390553	0.09872624093845486	0.2167910708625786	Specific	Specific
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200104	884886	1	1011	1	rat	Wistar	Wistar	m	14.4	359.9	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	99	NA	34.9	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200104_ses-1_run-1	_split_name_sub-0200104_ses-1_run-1_task-rest_bold	4	/project/4180000.36/awake/bids/rat_complete/sub-0200104/ses-1/func/sub-0200104_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200104_ses-1_run-1_task-rest_bold_5.png	0.3906	1.4	0.3907	false	20.55647991249037	0.07580959337328991	0.05365344015222492	600	113	0.35291632585294347	0.128105735662834	-0.2931092439802133	Non-specific	Spurious	26	0.3916425613622766	0.20397874285240428	-0.2346209362693514	Non-specific	Spurious		0.4404342601316956	0.1961204480832824	-0.20826855106213055	Non-specific	Spurious	113	0.40476700751422284	0.17022045786779916	-0.26422161876394507	Non-specific	Spurious	26	0.4402463834664036	0.2426821175533335	-0.201877157629261	Non-specific	Spurious		0.4479654557084993	0.23061126634759427	-0.19573547512197825	Non-specific	Spurious	113	0.367682787064776	0.006314050719763125	-0.12884947569373553	Specific	Spurious	26	0.41275997556123584	0.035652723175293624	-0.12508559123864033	Specific	Spurious		0.4150719817742195	0.06511594527912772	-0.08268251336309776	Specific	No
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200105	884887	1	1012	1	rat	Wistar	Wistar	m	14.4	389.0	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	72	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200105_ses-1_run-1	_split_name_sub-0200105_ses-1_run-1_task-rest_bold	5	/project/4180000.36/awake/bids/rat_complete/sub-0200105/ses-1/func/sub-0200105_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200105_ses-1_run-1_task-rest_bold_6.png	0.3906	1.4	0.3907	false	18.742040292541787	0.15295175708401318	0.06539992040861214	600	143	0.01758924907536643	0.07273168875886409	-0.06174704071559314	No	No	47	0.0441545573197493	-0.02666994597622207	-0.0913851872347703	No	No	7	-0.0732709858562303	0.2284780860955528	0.10104410630458605	Spurious	Non-specific	143	0.0007426313039876898	0.1306157481313502	-0.049439408433465656	Spurious	Spurious	47	0.030595700139623053	0.03936406174398225	-0.06518224904385499	No	No	7	-0.05682180340037265	0.2001043279196103	0.058029044830193555	Spurious	Spurious	143	0.07407929181827747	0.04480092214328248	0.17229359431082775	No	Specific	47	0.20390470115448905	-0.019245097050940897	0.016324710334128467	Specific	No	7	-0.05840836620344639	0.25071774060875535	0.0750623516127934	Spurious	Spurious
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200106	884894	1	1013	1	rat	Wistar	Wistar	f	14.4	209.1	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	82	NA	35.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200106_ses-1_run-1	_split_name_sub-0200106_ses-1_run-1_task-rest_bold	6	/project/4180000.36/awake/bids/rat_complete/sub-0200106/ses-1/func/sub-0200106_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200106_ses-1_run-1_task-rest_bold_7.png	0.3906	1.4	0.3907	false	22.338691010145112	0.15232260672943276	0.03201648007698948	600	45	0.4453762908961342	-0.08054078441460948	-0.02367113059556284	Specific	No	37	0.43485363187507525	-0.07820819771482201	-0.02459940374983208	Specific	No		0.42490177709030347	-0.08032633968098152	-0.04353343090577088	Specific	No	45	0.49687373584907446	0.04219722988061976	0.060191945168714706	Specific	No	37	0.4812078765060347	0.04080506260852704	0.06695582125761267	Specific	No		0.4247071122397946	-0.021822354447847525	0.05944042103291463	Specific	No	45	0.3443780788289749	0.036206944856720276	0.09446064270373168	Specific	No	37	0.3423577458425135	0.024309659111405743	0.05523569552887787	Specific	No		0.34216184291774104	0.0620537332742205	0.07545795230121073	Specific	No
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200107	884895	1	1014	1	rat	Wistar	Wistar	f	14.4	212.8	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	76	NA	NA	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200107_ses-1_run-1	_split_name_sub-0200107_ses-1_run-1_task-rest_bold	7	/project/4180000.36/awake/bids/rat_complete/sub-0200107/ses-1/func/sub-0200107_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200107_ses-1_run-1_task-rest_bold_8.png	0.3906	1.4	0.3907	false	22.623162467395797	0.18453565137684458	0.03509785529715173	600	12	0.5609817488707866	0.11234815445079872	0.12405948712397859	Non-specific	Non-specific	12	0.5609817488707866	0.11234815445079872	0.12405948712397859	Non-specific	Non-specific		0.5512396327781807	0.025357606854472844	0.10825156001253668	Specific	Specific	12	0.5733901346508081	0.21420857365567786	0.19466419088009176	Non-specific	Non-specific	12	0.5733901346508081	0.21420857365567786	0.19466419088009176	Non-specific	Non-specific		0.5712515342834746	0.17225056423003887	0.22127975434750863	Non-specific	Non-specific	12	0.2502485622100382	-0.17030017453315105	0.17931072634750111	Specific	Specific	12	0.23402633495984682	-0.16161807832071814	0.11586546798578758	Specific	Specific		0.24799638483591666	-0.14386579826688747	0.11363825932966977	Specific	Specific
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200108	890555	1	1038	1	rat	Wistar	Wistar	m	11.4	278.30	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	80	NA	33.5	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200108_ses-1_run-1	_split_name_sub-0200108_ses-1_run-1_task-rest_bold	8	/project/4180000.36/awake/bids/rat_complete/sub-0200108/ses-1/func/sub-0200108_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200108_ses-1_run-1_task-rest_bold_9.png	0.4	1.4	0.4	false	22.42639927609996	0.08768729885835565	0.0311842400172466	600	26	0.3221183971944098	-0.16102733606916997	0.09956559500561021	Specific	Spurious	26	0.3221183971944098	-0.16102733606916997	0.09956559500561021	Specific	Spurious		0.2579611536403583	-0.1410286962949056	0.16151573760948565	Specific	Specific	26	0.30684565246212014	-0.10443804351128572	0.1044025085685508	Specific	Specific	26	0.30684565246212014	-0.10443804351128572	0.1044025085685508	Specific	Specific		0.25412607752710825	-0.026310022970261356	0.1593433128721433	Specific	Specific	26	0.10781529676255477	-0.001922238048756551	0.08027559644229953	Specific	No	26	0.07633087811497326	-0.009454853447972025	-0.04009752551040488	No	No		0.01930592479036253	0.08601829640127372	-0.018002366455604234	No	No
		data is the same BIDS_raw and BIDS_input-RABIES after RABIES analysis 3dresample, to match template shape: from (64, 108, 64, 1) to (63, 108, 63), and perform the second level. Output after resampled is in '/first_level/' 	2001	200109	890556	1	1039	1	rat	Wistar	Wistar	m	11.4	346.30	f	n	y	n	y	Isoflurane, 2-4% in 0.4 L/min air and 0,4 L/min O2	104	NA	36.0	MR Solutions	7	n	GE-EPI	1000	17	0.4	1.3			sub-0200109_ses-1_run-1	_split_name_sub-0200109_ses-1_run-1_task-rest_bold	9	/project/4180000.36/awake/bids/rat_complete/sub-0200109/ses-1/func/sub-0200109_ses-1_run-1_task-rest_bold.nii.gz	func_func_sub-0200109_ses-1_run-1_task-rest_bold_10.png	0.4	1.4	0.4	false	20.80298516934465	0.16002685139184894	0.046041273822122565	600	80	0.34437808177613394	-0.01741148230167585	-0.10789042675461841	Specific	Spurious	34	0.3569643896652676	0.03414027309575828	-0.14440959471322942	Specific	Spurious		0.3549408248497907	0.2683985281795039	-0.0323484324783651	Non-specific	Spurious	80	0.33857631701293295	-0.004874936610540317	-0.0968116522626658	Specific	No	34	0.3503613181548874	0.039713875001701815	-0.13191266000911128	Specific	Spurious		0.34475535373655664	0.2734205557878957	-0.013314388863700332	Non-specific	Spurious	80	0.32353716905520014	0.02292042838458505	0.01195426482915994	Specific	No	34	0.31042289577774346	0.05294140402982837	-0.0426912632235803	Specific	No		0.3326138381621669	0.20075200223773668	0.041810067057008016	Non-specific	Spurious
